subject,task,label,start_s,end_s,source,confidence
S07_KDM,S01_angle,FACE_R2,132.4,140.4,회전 피크 사이,A
S07_KDM,S01_angle,FACE_R3,150.3,158.3,두 번째 회전 후,A
S07_KDM,S01_angle,FACE_R3,154.3,162.3,두 번째 회전 후,A
S07_KDM,S01_angle,FACE_R3,158.3,166.3,두 번째 회전 후,A
S07_KDM,S01_angle,FACE_R3,162.3,170.3,두 번째 회전 후,A
S07_KDM,S01_angle,FACE_R3,166.3,174.3,두 번째 회전 후,A
S07_KDM,S01_angle,FACE_R3,170.3,178.3,두 번째 회전 후,A
S07_KDM,S01_angle,FACE_R3,174.3,182.3,두 번째 회전 후,A
S07_KDM,S01_angle,FACE_R3,178.3,186.3,두 번째 회전 후,A
S07_KDM,S01_angle,FACE_R3,182.3,190.3,두 번째 회전 후,A
S07_KDM,S01_angle,FACE_R3,186.3,194.3,두 번째 회전 후,A
S07_KDM,S01_angle,FACE_R3,190.3,198.3,두 번째 회전 후,A
S07_KDM,S02_state,NORMAL,286.1890000000001,296.1890000000001,화면 시간표,A
S07_KDM,S02_state,NORMAL,291.1890000000001,301.1890000000001,화면 시간표,A
S07_KDM,S02_state,NORMAL,296.1890000000001,306.1890000000001,화면 시간표,A
S07_KDM,S02_state,NORMAL,301.1890000000001,311.1890000000001,화면 시간표,A
S07_KDM,S02_state,NORMAL,306.1890000000001,316.1890000000001,화면 시간표,A
S07_KDM,S02_state,NORMAL,311.1890000000001,321.1890000000001,화면 시간표,A
S07_KDM,S02_state,NORMAL,316.1890000000001,326.1890000000001,화면 시간표,A
S07_KDM,S02_state,NORMAL,321.1890000000001,331.1890000000001,화면 시간표,A
S07_KDM,S02_state,NORMAL,326.1890000000001,336.1890000000001,화면 시간표,A
S07_KDM,S02_state,SLOW,346.1890000000001,356.1890000000001,화면 시간표,A
S07_KDM,S02_state,SLOW,351.1890000000001,361.1890000000001,화면 시간표,A
S07_KDM,S02_state,SLOW,356.1890000000001,366.1890000000001,화면 시간표,A
S07_KDM,S02_state,SLOW,361.1890000000001,371.1890000000001,화면 시간표,A
S07_KDM,S02_state,SLOW,366.1890000000001,376.1890000000001,화면 시간표,A
S07_KDM,S02_state,SLOW,371.1890000000001,381.1890000000001,화면 시간표,A
S07_KDM,S02_state,SLOW,376.1890000000001,386.1890000000001,화면 시간표,A
S07_KDM,S02_state,SLOW,381.1890000000001,391.1890000000001,화면 시간표,A
S07_KDM,S02_state,SLOW,386.1890000000001,396.1890000000001,화면 시간표,A
S07_KDM,S02_state,HOLD,403.1890000000001,411.1890000000001,25~30초 허용+RSP 확인,B
S07_KDM,S02_state,HOLD,407.1890000000001,415.1890000000001,25~30초 허용+RSP 확인,B
S07_KDM,S02_state,HOLD,411.1890000000001,419.1890000000001,25~30초 허용+RSP 확인,B
S07_KDM,S02_state,HOLD,415.1890000000001,423.1890000000001,25~30초 허용+RSP 확인,B
S07_KDM,S02_state,HOLD,419.1890000000001,427.1890000000001,25~30초 허용+RSP 확인,B
S07_KDM,S02_state,POST_HOLD,436.1890000000001,446.1890000000001,RSP 재개 후~운동 준비 전,B
S07_KDM,S02_state,POST_HOLD,441.1890000000001,451.1890000000001,RSP 재개 후~운동 준비 전,B
S07_KDM,S02_state,POST_HOLD,446.1890000000001,456.1890000000001,RSP 재개 후~운동 준비 전,B
S07_KDM,S02_state,POST_HOLD,451.1890000000001,461.1890000000001,RSP 재개 후~운동 준비 전,B
S07_KDM,S02_state,POST_HOLD,456.1890000000001,466.1890000000001,RSP 재개 후~운동 준비 전,B
S07_KDM,S02_state,POST_HOLD,461.1890000000001,471.1890000000001,RSP 재개 후~운동 준비 전,B
S07_KDM,S02_state,POST_HOLD,466.1890000000001,476.1890000000001,RSP 재개 후~운동 준비 전,B
S07_KDM,S02_state,POST_HOLD,471.1890000000001,481.1890000000001,RSP 재개 후~운동 준비 전,B
S07_KDM,S02_state,POST_HOLD,476.1890000000001,486.1890000000001,RSP 재개 후~운동 준비 전,B
S07_KDM,S02_state,SQUAT,511.1890000000001,521.1890000000001,화면 시간표(준비/착석 제외),A
S07_KDM,S02_state,SQUAT,516.1890000000001,526.1890000000001,화면 시간표(준비/착석 제외),A
S07_KDM,S02_state,SQUAT,521.1890000000001,531.1890000000001,화면 시간표(준비/착석 제외),A
S07_KDM,S02_state,SQUAT,526.1890000000001,536.1890000000001,화면 시간표(준비/착석 제외),A
S07_KDM,S02_state,SQUAT,531.1890000000001,541.1890000000001,화면 시간표(준비/착석 제외),A
S07_KDM,S02_state,SQUAT,536.1890000000001,546.1890000000001,화면 시간표(준비/착석 제외),A
S07_KDM,S02_state,SQUAT,541.1890000000001,551.1890000000001,화면 시간표(준비/착석 제외),A
S07_KDM,S02_state,SQUAT,546.1890000000001,556.1890000000001,화면 시간표(준비/착석 제외),A
S07_KDM,S02_state,SQUAT,551.1890000000001,561.1890000000001,화면 시간표(준비/착석 제외),A
S07_KDM,S02_state,POST_EXERCISE,586.1890000000001,596.1890000000001,화면 시간표(착석 후 5초 제외),A
S07_KDM,S02_state,POST_EXERCISE,591.1890000000001,601.1890000000001,화면 시간표(착석 후 5초 제외),A
S07_KDM,S02_state,POST_EXERCISE,596.1890000000001,606.1890000000001,화면 시간표(착석 후 5초 제외),A
S07_KDM,S02_state,POST_EXERCISE,601.1890000000001,611.1890000000001,화면 시간표(착석 후 5초 제외),A
S07_KDM,S02_state,POST_EXERCISE,606.1890000000001,616.1890000000001,화면 시간표(착석 후 5초 제외),A
S07_KDM,S02_state,POST_EXERCISE,611.1890000000001,621.1890000000001,화면 시간표(착석 후 5초 제외),A
S07_KDM,S02_state,POST_EXERCISE,616.1890000000001,626.1890000000001,화면 시간표(착석 후 5초 제외),A
S07_KDM,S02_state,POST_EXERCISE,621.1890000000001,631.1890000000001,화면 시간표(착석 후 5초 제외),A
S07_KDM,S02_state,POST_EXERCISE,626.1890000000001,636.1890000000001,화면 시간표(착석 후 5초 제외),A
S08_MDO,S01_angle,FACE_R1,36.98000000000005,44.98000000000005,화면 1분+회전 피크,A
S08_MDO,S01_angle,FACE_R1,40.98000000000005,48.98000000000005,화면 1분+회전 피크,A
S08_MDO,S01_angle,FACE_R1,44.98000000000005,52.98000000000005,화면 1분+회전 피크,A
S08_MDO,S01_angle,FACE_R1,48.98000000000005,56.98000000000005,화면 1분+회전 피크,A
S08_MDO,S01_angle,FACE_R1,52.98000000000005,60.98000000000005,화면 1분+회전 피크,A
S08_MDO,S01_angle,FACE_R1,56.98000000000005,64.98000000000005,화면 1분+회전 피크,A
S08_MDO,S01_angle,FACE_R1,60.98000000000005,68.98000000000005,화면 1분+회전 피크,A
S08_MDO,S01_angle,FACE_R1,64.98000000000005,72.98000000000005,화면 1분+회전 피크,A
S08_MDO,S01_angle,FACE_R1,68.98000000000005,76.98000000000005,화면 1분+회전 피크,A
S08_MDO,S01_angle,FACE_R1,72.98000000000005,80.98000000000005,화면 1분+회전 피크,A
S08_MDO,S01_angle,FACE_R1,76.98000000000005,84.98000000000005,화면 1분+회전 피크,A
S08_MDO,S01_angle,FACE_R2,94.1,102.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R2,98.1,106.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R2,102.1,110.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R2,106.1,114.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R2,110.1,118.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R2,114.1,122.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R2,118.1,126.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R2,122.1,130.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R2,126.1,134.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R2,130.1,138.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R2,134.1,142.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R2,138.1,146.1,회전 피크 사이,A
S08_MDO,S01_angle,FACE_R3,155.8,163.8,두 번째 회전 후,A
S08_MDO,S01_angle,FACE_R3,159.8,167.8,두 번째 회전 후,A
S08_MDO,S01_angle,FACE_R3,163.8,171.8,두 번째 회전 후,A
S08_MDO,S01_angle,FACE_R3,167.8,175.8,두 번째 회전 후,A
S08_MDO,S01_angle,FACE_R3,171.8,179.8,두 번째 회전 후,A
S08_MDO,S01_angle,FACE_R3,175.8,183.8,두 번째 회전 후,A
S08_MDO,S01_angle,FACE_R3,179.8,187.8,두 번째 회전 후,A
S08_MDO,S01_angle,FACE_R3,183.8,191.8,두 번째 회전 후,A
S08_MDO,S01_angle,FACE_R3,187.8,195.8,두 번째 회전 후,A
S08_MDO,S01_angle,FACE_R3,191.8,199.8,두 번째 회전 후,A
S08_MDO,S01_angle,FACE_R3,195.8,203.8,두 번째 회전 후,A
S08_MDO,S02_state,NORMAL,278.17,288.17,화면 시간표,A
S08_MDO,S02_state,NORMAL,283.17,293.17,화면 시간표,A
S08_MDO,S02_state,NORMAL,288.17,298.17,화면 시간표,A
S08_MDO,S02_state,NORMAL,293.17,303.17,화면 시간표,A
S08_MDO,S02_state,NORMAL,298.17,308.17,화면 시간표,A
S08_MDO,S02_state,NORMAL,303.17,313.17,화면 시간표,A
S08_MDO,S02_state,NORMAL,308.17,318.17,화면 시간표,A
S08_MDO,S02_state,NORMAL,313.17,323.17,화면 시간표,A
S08_MDO,S02_state,NORMAL,318.17,328.17,화면 시간표,A
S08_MDO,S02_state,SLOW,338.17,348.17,화면 시간표,A
S08_MDO,S02_state,SLOW,343.17,353.17,화면 시간표,A
S08_MDO,S02_state,SLOW,348.17,358.17,화면 시간표,A
S08_MDO,S02_state,SLOW,353.17,363.17,화면 시간표,A
S08_MDO,S02_state,SLOW,358.17,368.17,화면 시간표,A
S08_MDO,S02_state,SLOW,363.17,373.17,화면 시간표,A
S08_MDO,S02_state,SLOW,368.17,378.17,화면 시간표,A
S08_MDO,S02_state,SLOW,373.17,383.17,화면 시간표,A
S08_MDO,S02_state,SLOW,378.17,388.17,화면 시간표,A
S08_MDO,S02_state,HOLD,395.17,403.17,25~30초 허용+RSP 확인,B
S08_MDO,S02_state,HOLD,399.17,407.17,25~30초 허용+RSP 확인,B
S08_MDO,S02_state,HOLD,403.17,411.17,25~30초 허용+RSP 확인,B
S08_MDO,S02_state,HOLD,407.17,415.17,25~30초 허용+RSP 확인,B
S08_MDO,S02_state,POST_HOLD,423.17,433.17,RSP 재개 후~운동 준비 전,B
S08_MDO,S02_state,POST_HOLD,428.17,438.17,RSP 재개 후~운동 준비 전,B
S08_MDO,S02_state,POST_HOLD,433.17,443.17,RSP 재개 후~운동 준비 전,B
S08_MDO,S02_state,POST_HOLD,438.17,448.17,RSP 재개 후~운동 준비 전,B
S08_MDO,S02_state,POST_HOLD,443.17,453.17,RSP 재개 후~운동 준비 전,B
S08_MDO,S02_state,POST_HOLD,448.17,458.17,RSP 재개 후~운동 준비 전,B
S08_MDO,S02_state,POST_HOLD,453.17,463.17,RSP 재개 후~운동 준비 전,B
S08_MDO,S02_state,POST_HOLD,458.17,468.17,RSP 재개 후~운동 준비 전,B
S08_MDO,S02_state,POST_HOLD,463.17,473.17,RSP 재개 후~운동 준비 전,B
S08_MDO,S02_state,POST_HOLD,468.17,478.17,RSP 재개 후~운동 준비 전,B
S08_MDO,S02_state,SQUAT,503.17,513.1700000000001,화면 시간표(준비/착석 제외),A
S08_MDO,S02_state,SQUAT,508.17,518.1700000000001,화면 시간표(준비/착석 제외),A
S08_MDO,S02_state,SQUAT,513.1700000000001,523.1700000000001,화면 시간표(준비/착석 제외),A
S08_MDO,S02_state,SQUAT,518.1700000000001,528.1700000000001,화면 시간표(준비/착석 제외),A
S08_MDO,S02_state,SQUAT,523.1700000000001,533.1700000000001,화면 시간표(준비/착석 제외),A
S08_MDO,S02_state,SQUAT,528.1700000000001,538.1700000000001,화면 시간표(준비/착석 제외),A
S08_MDO,S02_state,SQUAT,533.1700000000001,543.1700000000001,화면 시간표(준비/착석 제외),A
S08_MDO,S02_state,SQUAT,538.1700000000001,548.1700000000001,화면 시간표(준비/착석 제외),A
S08_MDO,S02_state,SQUAT,543.1700000000001,553.1700000000001,화면 시간표(준비/착석 제외),A
S08_MDO,S02_state,POST_EXERCISE,578.1700000000001,588.1700000000001,화면 시간표(착석 후 5초 제외),A
S08_MDO,S02_state,POST_EXERCISE,583.1700000000001,593.1700000000001,화면 시간표(착석 후 5초 제외),A
S08_MDO,S02_state,POST_EXERCISE,588.1700000000001,598.1700000000001,화면 시간표(착석 후 5초 제외),A
S08_MDO,S02_state,POST_EXERCISE,593.1700000000001,603.1700000000001,화면 시간표(착석 후 5초 제외),A
S08_MDO,S02_state,POST_EXERCISE,598.1700000000001,608.1700000000001,화면 시간표(착석 후 5초 제외),A
S08_MDO,S02_state,POST_EXERCISE,603.1700000000001,613.1700000000001,화면 시간표(착석 후 5초 제외),A
S08_MDO,S02_state,POST_EXERCISE,608.1700000000001,618.1700000000001,화면 시간표(착석 후 5초 제외),A
S08_MDO,S02_state,POST_EXERCISE,613.1700000000001,623.1700000000001,화면 시간표(착석 후 5초 제외),A
S08_MDO,S02_state,POST_EXERCISE,618.1700000000001,628.1700000000001,화면 시간표(착석 후 5초 제외),A
S09_HDH,S01_angle,FACE_R1,28.369500000000063,36.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R1,32.36950000000006,40.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R1,36.36950000000006,44.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R1,40.36950000000006,48.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R1,44.36950000000006,52.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R1,48.36950000000006,56.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R1,52.36950000000006,60.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R1,56.36950000000006,64.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R1,60.36950000000006,68.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R1,64.36950000000006,72.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R1,68.36950000000006,76.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R1,72.36950000000006,80.36950000000006,화면 1분+회전 피크,A
S09_HDH,S01_angle,FACE_R2,89.9,97.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R2,93.9,101.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R2,97.9,105.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R2,101.9,109.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R2,105.9,113.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R2,109.9,117.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R2,113.9,121.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R2,117.9,125.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R2,121.9,129.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R2,125.9,133.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R2,129.9,137.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R2,133.9,141.9,회전 피크 사이,A
S09_HDH,S01_angle,FACE_R3,150.9,158.9,두 번째 회전 후,A
S09_HDH,S01_angle,FACE_R3,154.9,162.9,두 번째 회전 후,A
S09_HDH,S01_angle,FACE_R3,158.9,166.9,두 번째 회전 후,A
S09_HDH,S01_angle,FACE_R3,162.9,170.9,두 번째 회전 후,A
S09_HDH,S01_angle,FACE_R3,166.9,174.9,두 번째 회전 후,A
S09_HDH,S01_angle,FACE_R3,170.9,178.9,두 번째 회전 후,A
S09_HDH,S01_angle,FACE_R3,174.9,182.9,두 번째 회전 후,A
S09_HDH,S01_angle,FACE_R3,178.9,186.9,두 번째 회전 후,A
S09_HDH,S01_angle,FACE_R3,182.9,190.9,두 번째 회전 후,A
S09_HDH,S01_angle,FACE_R3,186.9,194.9,두 번째 회전 후,A
S09_HDH,S02_state,NORMAL,284.8620000000001,294.8620000000001,화면 시간표,A
S09_HDH,S02_state,NORMAL,289.8620000000001,299.8620000000001,화면 시간표,A
S09_HDH,S02_state,NORMAL,294.8620000000001,304.8620000000001,화면 시간표,A
S09_HDH,S02_state,NORMAL,299.8620000000001,309.8620000000001,화면 시간표,A
S09_HDH,S02_state,NORMAL,304.8620000000001,314.8620000000001,화면 시간표,A
S09_HDH,S02_state,NORMAL,309.8620000000001,319.8620000000001,화면 시간표,A
S09_HDH,S02_state,NORMAL,314.8620000000001,324.8620000000001,화면 시간표,A
S09_HDH,S02_state,NORMAL,319.8620000000001,329.8620000000001,화면 시간표,A
S09_HDH,S02_state,NORMAL,324.8620000000001,334.8620000000001,화면 시간표,A
S09_HDH,S02_state,SLOW,344.8620000000001,354.8620000000001,화면 시간표,A
S09_HDH,S02_state,SLOW,349.8620000000001,359.8620000000001,화면 시간표,A
S09_HDH,S02_state,SLOW,354.8620000000001,364.8620000000001,화면 시간표,A
S09_HDH,S02_state,SLOW,359.8620000000001,369.8620000000001,화면 시간표,A
S09_HDH,S02_state,SLOW,364.8620000000001,374.8620000000001,화면 시간표,A
S09_HDH,S02_state,SLOW,369.8620000000001,379.8620000000001,화면 시간표,A
S09_HDH,S02_state,SLOW,374.8620000000001,384.8620000000001,화면 시간표,A
S09_HDH,S02_state,SLOW,379.8620000000001,389.8620000000001,화면 시간표,A
S09_HDH,S02_state,SLOW,384.8620000000001,394.8620000000001,화면 시간표,A
S09_HDH,S02_state,HOLD,401.8620000000001,409.8620000000001,25~30초 허용+RSP 확인,B
S09_HDH,S02_state,HOLD,405.8620000000001,413.8620000000001,25~30초 허용+RSP 확인,B
S09_HDH,S02_state,HOLD,409.8620000000001,417.8620000000001,25~30초 허용+RSP 확인,B
S09_HDH,S02_state,HOLD,413.8620000000001,421.8620000000001,25~30초 허용+RSP 확인,B
S09_HDH,S02_state,HOLD,417.8620000000001,425.8620000000001,25~30초 허용+RSP 확인,B
S09_HDH,S02_state,POST_HOLD,434.8620000000001,444.8620000000001,RSP 재개 후~운동 준비 전,B
S09_HDH,S02_state,POST_HOLD,439.8620000000001,449.8620000000001,RSP 재개 후~운동 준비 전,B
S09_HDH,S02_state,POST_HOLD,444.8620000000001,454.8620000000001,RSP 재개 후~운동 준비 전,B
S09_HDH,S02_state,POST_HOLD,449.8620000000001,459.8620000000001,RSP 재개 후~운동 준비 전,B
S09_HDH,S02_state,POST_HOLD,454.8620000000001,464.8620000000001,RSP 재개 후~운동 준비 전,B
S09_HDH,S02_state,POST_HOLD,459.8620000000001,469.8620000000001,RSP 재개 후~운동 준비 전,B
S09_HDH,S02_state,POST_HOLD,464.8620000000001,474.8620000000001,RSP 재개 후~운동 준비 전,B
S09_HDH,S02_state,POST_HOLD,469.8620000000001,479.8620000000001,RSP 재개 후~운동 준비 전,B
S09_HDH,S02_state,POST_HOLD,474.8620000000001,484.8620000000001,RSP 재개 후~운동 준비 전,B
S09_HDH,S02_state,SQUAT,509.8620000000001,519.8620000000001,화면 시간표(준비/착석 제외),A
S09_HDH,S02_state,SQUAT,514.8620000000001,524.8620000000001,화면 시간표(준비/착석 제외),A
S09_HDH,S02_state,SQUAT,519.8620000000001,529.8620000000001,화면 시간표(준비/착석 제외),A
S09_HDH,S02_state,SQUAT,524.8620000000001,534.8620000000001,화면 시간표(준비/착석 제외),A
S09_HDH,S02_state,SQUAT,529.8620000000001,539.8620000000001,화면 시간표(준비/착석 제외),A
S09_HDH,S02_state,SQUAT,534.8620000000001,544.8620000000001,화면 시간표(준비/착석 제외),A
S09_HDH,S02_state,SQUAT,539.8620000000001,549.8620000000001,화면 시간표(준비/착석 제외),A
S09_HDH,S02_state,SQUAT,544.8620000000001,554.8620000000001,화면 시간표(준비/착석 제외),A
S09_HDH,S02_state,SQUAT,549.8620000000001,559.8620000000001,화면 시간표(준비/착석 제외),A
S09_HDH,S02_state,POST_EXERCISE,584.8620000000001,594.8620000000001,화면 시간표(착석 후 5초 제외),A
S09_HDH,S02_state,POST_EXERCISE,589.8620000000001,599.8620000000001,화면 시간표(착석 후 5초 제외),A
S09_HDH,S02_state,POST_EXERCISE,594.8620000000001,604.8620000000001,화면 시간표(착석 후 5초 제외),A
S09_HDH,S02_state,POST_EXERCISE,599.8620000000001,609.8620000000001,화면 시간표(착석 후 5초 제외),A
S09_HDH,S02_state,POST_EXERCISE,604.8620000000001,614.8620000000001,화면 시간표(착석 후 5초 제외),A
S09_HDH,S02_state,POST_EXERCISE,609.8620000000001,619.8620000000001,화면 시간표(착석 후 5초 제외),A
S09_HDH,S02_state,POST_EXERCISE,614.8620000000001,624.8620000000001,화면 시간표(착석 후 5초 제외),A
S09_HDH,S02_state,POST_EXERCISE,619.8620000000001,629.8620000000001,화면 시간표(착석 후 5초 제외),A
S09_HDH,S02_state,POST_EXERCISE,624.8620000000001,634.8620000000001,화면 시간표(착석 후 5초 제외),A
S17_RJS,S01_angle,FACE_R1,27.840916500000052,35.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R1,31.840916500000052,39.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R1,35.84091650000005,43.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R1,39.84091650000005,47.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R1,43.84091650000005,51.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R1,47.84091650000005,55.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R1,51.84091650000005,59.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R1,55.84091650000005,63.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R1,59.84091650000005,67.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R1,63.84091650000005,71.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R1,67.84091650000005,75.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R1,71.84091650000005,79.84091650000005,화면 1분+회전 피크,A
S17_RJS,S01_angle,FACE_R2,90.0,98.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R2,94.0,102.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R2,98.0,106.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R2,102.0,110.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R2,106.0,114.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R2,110.0,118.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R2,114.0,122.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R2,118.0,126.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R2,122.0,130.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R2,126.0,134.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R2,130.0,138.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R2,134.0,142.0,회전 피크 사이,A
S17_RJS,S01_angle,FACE_R3,152.2,160.2,두 번째 회전 후,A
S17_RJS,S01_angle,FACE_R3,156.2,164.2,두 번째 회전 후,A
S17_RJS,S01_angle,FACE_R3,160.2,168.2,두 번째 회전 후,A
S17_RJS,S01_angle,FACE_R3,164.2,172.2,두 번째 회전 후,A
S17_RJS,S01_angle,FACE_R3,168.2,176.2,두 번째 회전 후,A
S17_RJS,S01_angle,FACE_R3,172.2,180.2,두 번째 회전 후,A
S17_RJS,S01_angle,FACE_R3,176.2,184.2,두 번째 회전 후,A
S17_RJS,S01_angle,FACE_R3,180.2,188.2,두 번째 회전 후,A
S17_RJS,S01_angle,FACE_R3,184.2,192.2,두 번째 회전 후,A
S17_RJS,S01_angle,FACE_R3,188.2,196.2,두 번째 회전 후,A
S17_RJS,S02_state,NORMAL,243.63020000000003,253.63020000000003,화면 시간표,A
S17_RJS,S02_state,NORMAL,248.63020000000003,258.63020000000006,화면 시간표,A
S17_RJS,S02_state,NORMAL,253.63020000000003,263.63020000000006,화면 시간표,A
S17_RJS,S02_state,NORMAL,258.63020000000006,268.63020000000006,화면 시간표,A
S17_RJS,S02_state,NORMAL,263.63020000000006,273.63020000000006,화면 시간표,A
S17_RJS,S02_state,NORMAL,268.63020000000006,278.63020000000006,화면 시간표,A
S17_RJS,S02_state,NORMAL,273.63020000000006,283.63020000000006,화면 시간표,A
S17_RJS,S02_state,NORMAL,278.63020000000006,288.63020000000006,화면 시간표,A
S17_RJS,S02_state,NORMAL,283.63020000000006,293.63020000000006,화면 시간표,A
S17_RJS,S02_state,SLOW,303.63020000000006,313.63020000000006,화면 시간표,A
S17_RJS,S02_state,SLOW,308.63020000000006,318.63020000000006,화면 시간표,A
S17_RJS,S02_state,SLOW,313.63020000000006,323.63020000000006,화면 시간표,A
S17_RJS,S02_state,SLOW,318.63020000000006,328.63020000000006,화면 시간표,A
S17_RJS,S02_state,SLOW,323.63020000000006,333.63020000000006,화면 시간표,A
S17_RJS,S02_state,SLOW,328.63020000000006,338.63020000000006,화면 시간표,A
S17_RJS,S02_state,SLOW,333.63020000000006,343.63020000000006,화면 시간표,A
S17_RJS,S02_state,SLOW,338.63020000000006,348.63020000000006,화면 시간표,A
S17_RJS,S02_state,SLOW,343.63020000000006,353.63020000000006,화면 시간표,A
S17_RJS,S02_state,HOLD,360.63020000000006,368.63020000000006,25~30초 허용+RSP 확인,B
S17_RJS,S02_state,HOLD,364.63020000000006,372.63020000000006,25~30초 허용+RSP 확인,B
