subject,pair_index,scenario_class,scenario,start_s,end_s,duration_s,selection_status,selection_source
S17_RJS,7,4,4번 낙상,842.663,892.42,49.757,자동 점검 통과,GPT 최종 선택
S17_RJS,8,4,4번 낙상,910.917,923.939,13.022,자동 점검 통과,GPT 최종 선택
S17_RJS,9,5,5번 코스,960.752,1148.822,188.07,자동 점검 통과,GPT 최종 선택
S17_RJS,10,6,6번 왕복,1189.366,1214.386,25.02,자동 점검 통과,GPT 최종 선택
S17_RJS,11,7,7번 자유,1240.432,1253.558,13.126,자동 점검 통과,GPT 최종 선택
S18_LJH,1,1,1번 호흡,15.296,211.68,196.384,자동 점검 통과,GPT 최종 선택
S18_LJH,2,2,2번 호흡,231.176,603.692,372.516,자동 점검 통과,GPT 최종 선택
S18_LJH,3,3,3번 픽업,637.644,652.888,15.244,자동 점검 통과,GPT 최종 선택
S18_LJH,4,3,3번 픽업,669.54,681.076,11.536,자동 점검 통과,GPT 최종 선택
S18_LJH,5,4,4번 낙상,723.024,737.3,14.276,자동 점검 통과,GPT 최종 선택
S18_LJH,6,4,4번 낙상,746.856,792.184,45.328,자동 점검 통과,GPT 최종 선택
S18_LJH,7,4,4번 낙상,802.32,848.24,45.92,자동 점검 통과,GPT 최종 선택
S18_LJH,8,4,4번 낙상,863.268,874.356,11.088,자동 점검 통과,GPT 최종 선택
S18_LJH,9,5,5번 코스,901.676,1085.964,184.288,자동 점검 통과,GPT 최종 선택
S18_LJH,10,6,6번 왕복,1103.384,1127.688,24.304,자동 점검 통과,GPT 최종 선택
S18_LJH,11,7,7번 자유,1139.876,1151.364,11.488,자동 점검 통과,GPT 최종 선택
S19_CHW,1,1,1번 호흡,19.828,215.9,196.072,자동 점검 통과,GPT 최종 선택
S19_CHW,2,2,2번 호흡,272.072,662.052,389.98,자동 점검 통과,GPT 최종 선택
S19_CHW,3,3,3번 픽업,763.568,783.864,20.296,자동 점검 통과,GPT 최종 선택
S19_CHW,4,3,3번 픽업,799.476,816.428,16.952,자동 점검 통과,GPT 최종 선택
S19_CHW,5,4,4번 낙상,926.766,954.068,27.302,자동 점검 통과,GPT 최종 선택
S19_CHW,6,4,4번 낙상,962.232,1009.592,47.36,자동 점검 통과,GPT 최종 선택
S19_CHW,7,4,4번 낙상,1024.328,1076.088,51.76,자동 점검 통과,GPT 최종 선택
S19_CHW,8,4,4번 낙상,1096.346,1106.604,10.258,자동 점검 통과,GPT 최종 선택
S19_CHW,9,5,5번 코스,1188.496,1372.364,183.868,자동 점검 통과,GPT 최종 선택
S19_CHW,10,6,6번 왕복,1429.692,1454.906,25.214,자동 점검 통과,GPT 최종 선택
S19_CHW,11,7,7번 자유,1485.52,1505.775,20.255,자동 점검 통과,GPT 최종 선택
S21_PSJ,1,1,1번 호흡,19.952,214.06,194.108,자동 점검 통과,GPT 최종 선택
S21_PSJ,2,2,2번 호흡,235.404,612.212,376.808,자동 점검 통과,GPT 최종 선택
S21_PSJ,3,3,3번 픽업,654.908,668.36,13.452,자동 점검 통과,GPT 최종 선택
S21_PSJ,4,3,3번 픽업,688.34,698.516,10.176,자동 점검 통과,GPT 최종 선택
S21_PSJ,5,4,4번 낙상,793.548,807.974,14.426,자동 점검 통과,GPT 최종 선택
S21_PSJ,6,4,4번 낙상,816.42,862.9,46.48,자동 점검 통과,GPT 최종 선택
S21_PSJ,7,4,4번 낙상,875.248,921.344,46.096,자동 점검 통과,GPT 최종 선택
S21_PSJ,8,4,4번 낙상,937.592,970.58,32.988,자동 점검 통과,GPT 최종 선택
S21_PSJ,9,5,5번 코스,1012.864,1208.968,196.104,자동 점검 통과,GPT 최종 선택
S21_PSJ,10,6,6번 왕복,1248.064,1270.892,22.828,자동 점검 통과,GPT 최종 선택
S21_PSJ,11,7,7번 자유,1306.696,1317.132,10.436,자동 점검 통과,GPT 최종 선택
S23_KDM,1,1,1번 호흡,17.032,212.8,195.768,자동 점검 통과,GPT 최종 선택
S23_KDM,2,2,2번 호흡,229.692,603.524,373.832,자동 점검 통과,GPT 최종 선택
S23_KDM,3,3,3번 픽업,659.996,671.088,11.092,자동 점검 통과,GPT 최종 선택
S23_KDM,4,3,3번 픽업,691.212,702.568,11.356,자동 점검 통과,GPT 최종 선택
S23_KDM,5,4,4번 낙상,756.112,762.307,6.195,자동 점검 통과,GPT 최종 선택
S23_KDM,6,4,4번 낙상,777.904,819.564,41.66,자동 점검 통과,GPT 최종 선택
S23_KDM,7,4,4번 낙상,831.408,880.892,49.484,자동 점검 통과,GPT 최종 선택
S23_KDM,8,4,4번 낙상,899.908,907.76,7.852,자동 점검 통과,GPT 최종 선택
S23_KDM,9,5,5번 코스,946.636,1130.296,183.66,자동 점검 통과,GPT 최종 선택
S23_KDM,10,6,6번 왕복,1147.392,1170.656,23.264,자동 점검 통과,GPT 최종 선택
S23_KDM,11,7,7번 자유,1193.716,1207.05,13.334,자동 점검 통과,GPT 최종 선택
S26_LDW,1,1,1번 호흡,12.588,206.844,194.256,자동 점검 통과,GPT 최종 선택
S26_LDW,2,2,2번 호흡,257.132,633.06,375.928,자동 점검 통과,GPT 최종 선택
S26_LDW,3,3,3번 픽업,687.072,699.96,12.888,자동 점검 통과,GPT 최종 선택
S26_LDW,4,3,3번 픽업,718.672,730.8,12.128,자동 점검 통과,GPT 최종 선택
S26_LDW,5,4,4번 낙상,788.42,804.976,16.556,자동 점검 통과,GPT 최종 선택
S26_LDW,6,4,4번 낙상,817.904,864.649,46.745,자동 점검 통과,GPT 최종 선택
S26_LDW,7,4,4번 낙상,874.236,923.36,49.124,자동 점검 통과,GPT 최종 선택
S26_LDW,8,4,4번 낙상,944.896,958.112,13.216,자동 점검 통과,GPT 최종 선택
S26_LDW,9,5,5번 코스,1021.684,1213.629,191.945,자동 점검 통과,GPT 최종 선택
S26_LDW,10,6,6번 왕복,1230.52,1256.652,26.132,자동 점검 통과,GPT 최종 선택
S26_LDW,11,7,7번 자유,1277.992,1291.408,13.416,자동 점검 통과,GPT 최종 선택
S28_KDH,1,1,1번 호흡,14.424,207.58,193.156,자동 점검 통과,GPT 최종 선택
S28_KDH,2,2,2번 호흡,238.924,616.316,377.392,자동 점검 통과,GPT 최종 선택
S28_KDH,3,3,3번 픽업,674.368,690.684,16.316,자동 점검 통과,GPT 최종 선택
S28_KDH,4,3,3번 픽업,709.596,724.66,15.064,자동 점검 통과,GPT 최종 선택
S28_KDH,5,4,4번 낙상,788.84,804.416,15.576,자동 점검 통과,GPT 최종 선택
S28_KDH,6,4,4번 낙상,817.7,865.708,48.008,자동 점검 통과,GPT 최종 선택
S28_KDH,7,4,4번 낙상,881.24,928.06,46.82,자동 점검 통과,GPT 최종 선택
S28_KDH,8,4,4번 낙상,946.028,957.956,11.928,자동 점검 통과,GPT 최종 선택
S28_KDH,9,5,5번 코스,1002.46,1191.396,188.936,자동 점검 통과,GPT 최종 선택
S28_KDH,10,6,6번 왕복,1214.484,1239.976,25.492,자동 점검 통과,GPT 최종 선택
S28_KDH,11,7,7번 자유,1265.272,1278.26,12.988,자동 점검 통과,GPT 최종 선택
